Week,Home,Away,HomeScore,AwayScore,Margin,Predicted_Prob,Correct,Vegas,Elo_Diff,QB_Diff,EPA_Diff,HomeRest,AwayRest,HomeTurnovers,AwayTurnovers,Regimes
1,KC,BAL,27.0,20.0,7.0,0.3315937181640837,False,-3.0,-105.88417811068598,-63.08105176972185,4.243856906890869,7,7,1.0,1.0,"MEDIUM_SPREAD,EARLY_SEASON"
1,PHI,GB,34.0,29.0,5.0,0.7090978175243711,True,-2.0,-11.112046223257948,18.395482159016183,-7.120196104049683,7,7,3.0,1.0,"CLOSE_GAME,EARLY_SEASON"
1,ATL,PIT,10.0,18.0,8.0,0.7179132892810863,False,-4.0,-147.83767065350912,23.53322382330566,-10.72318708896637,7,7,2.0,0.0,"MEDIUM_SPREAD,EARLY_SEASON"
1,BUF,ARI,34.0,28.0,6.0,0.873838412189321,True,-6.5,216.13198202701096,65.71411381652001,9.911708354949951,7,7,1.0,1.0,"MEDIUM_SPREAD,EARLY_SEASON"
1,CHI,TEN,24.0,17.0,7.0,0.7089596330096218,True,-4.0,55.94850725859442,26.202702922184926,2.1171884536743164,7,7,0.0,3.0,"MEDIUM_SPREAD,EARLY_SEASON"
1,CIN,NE,10.0,16.0,6.0,0.7121818147192398,False,-8.0,176.8100122509759,2.7480110195099314,-0.3902766704559326,7,7,1.0,0.0,"BLOWOUT_EXPECTED,EARLY_SEASON"
1,IND,HOU,27.0,29.0,2.0,0.36785143910915996,True,3.0,-57.7102881625417,-29.850900535805295,-6.419341802597046,7,7,1.0,0.0,"MEDIUM_SPREAD,DIVISION_GAME,EARLY_SEASON"
1,MIA,JAX,20.0,17.0,3.0,0.8120579824534311,True,-3.5,73.69871445743615,41.894326819497564,8.96294891834259,7,7,0.0,1.0,"MEDIUM_SPREAD,EARLY_SEASON"
1,NO,CAR,47.0,10.0,37.0,0.903654506291303,True,-3.5,221.62995544708951,107.32543570950475,39.458749294281006,7,7,0.0,3.0,"MEDIUM_SPREAD,DIVISION_GAME,EARLY_SEASON"
1,NYG,MIN,6.0,28.0,22.0,0.4130700503770061,True,1.0,6.9667356311983895,-24.655106801537613,-34.65378987789154,7,7,2.0,2.0,"CLOSE_GAME,EARLY_SEASON"
1,LAC,LV,22.0,10.0,12.0,0.4057560242047866,False,-3.0,-124.70977688250946,-30.915264044779406,16.098047614097595,7,7,0.0,3.0,"MEDIUM_SPREAD,DIVISION_GAME,EARLY_SEASON"
1,SEA,DEN,26.0,20.0,6.0,0.6566701276094066,True,-6.5,30.93215613729558,7.921656921528893,15.19729232788086,7,7,1.0,3.0,"MEDIUM_SPREAD,EARLY_SEASON"
1,CLE,DAL,17.0,33.0,16.0,0.5103073405216244,False,-2.5,-24.76000479917934,-19.922812567243454,-12.484751775860786,7,7,2.0,0.0,"CLOSE_GAME,EARLY_SEASON"
1,TB,WAS,37.0,20.0,17.0,0.6706807694183301,True,-4.0,174.36538583412903,9.667147621577897,6.063838303089142,7,7,0.0,0.0,"MEDIUM_SPREAD,EARLY_SEASON"
1,DET,LA,26.0,20.0,6.0,0.7054180106033834,True,-5.0,7.770122078597751,23.89358220918848,3.2050729990005493,7,7,1.0,1.0,"MEDIUM_SPREAD,EARLY_SEASON"
1,SF,NYJ,32.0,19.0,13.0,0.8440557717913002,True,-3.5,144.25480340191007,60.06189549228088,2.562445640563965,7,7,0.0,2.0,"MEDIUM_SPREAD,EARLY_SEASON"
2,MIA,BUF,10.0,31.0,21.0,0.004255980312547663,True,-2.5,-54.933015283511395,-12.955774153257835,-29.694799065589905,4,4,3.0,0.0,"CLOSE_GAME,DIVISION_GAME,EARLY_SEASON"
2,BAL,LV,23.0,26.0,3.0,0.9883672601608233,False,-9.0,154.02790225310946,82.55742420282081,9.066689133644104,10,7,1.0,1.0,"BLOWOUT_EXPECTED,EARLY_SEASON,MAJOR_REST_ADVANTAGE"
2,CAR,LAC,3.0,26.0,23.0,0.003520052765268519,True,5.0,-102.61767839940399,-89.8537964114048,-27.0412654876709,7,7,1.0,2.0,"MEDIUM_SPREAD,EARLY_SEASON"
2,DAL,NO,19.0,44.0,25.0,0.01933182395417297,True,-6.5,107.50464442321572,53.97436722645284,-35.35808676481247,7,7,2.0,1.0,"MEDIUM_SPREAD,EARLY_SEASON"
2,DET,TB,16.0,20.0,4.0,0.8246421903548853,False,-7.5,92.84740937629272,44.257775394079545,-1.1151949167251587,7,7,2.0,1.0,"BLOWOUT_EXPECTED,EARLY_SEASON"
2,GB,IND,16.0,10.0,6.0,0.8279650442204138,True,3.0,44.92091726549825,11.640181944366986,4.841123580932617,9,7,1.0,3.0,"MEDIUM_SPREAD,EARLY_SEASON,MINOR_REST_ADVANTAGE"
2,JAX,CLE,13.0,18.0,5.0,0.22711518256354263,True,-3.0,-100.87566299162609,-42.76391340873488,-3.3707812428474426,7,7,0.0,0.0,"MEDIUM_SPREAD,EARLY_SEASON"
2,MIN,SF,23.0,17.0,6.0,0.546951340058399,True,4.5,-140.03320390466433,-77.37242057193794,6.240516245365143,7,6,2.0,2.0,"MEDIUM_SPREAD,EARLY_SEASON,MINOR_REST_ADVANTAGE"
2,NE,SEA,20.0,23.0,3.0,0.6207248908897749,False,3.5,-140.8519601877474,-5.894715548023214,1.9844895154237747,7,7,0.0,0.0,"MEDIUM_SPREAD,EARLY_SEASON"
2,TEN,NYJ,17.0,24.0,7.0,0.17776497071311148,True,3.5,-35.19738874779591,-36.27334179170725,-7.333182692527771,7,6,2.0,0.0,"MEDIUM_SPREAD,EARLY_SEASON,MINOR_REST_ADVANTAGE"
2,WAS,NYG,21.0,18.0,3.0,0.8184852510081554,True,-1.5,-91.03595911450338,36.80704014819753,3.2544493675231934,7,7,0.0,1.0,"CLOSE_GAME,DIVISION_GAME,EARLY_SEASON"
2,ARI,LA,41.0,10.0,31.0,0.9933690030552145,True,1.0,-183.1224198466905,-45.35136500947738,35.181633710861206,7,7,1.0,1.0,"CLOSE_GAME,DIVISION_GAME,EARLY_SEASON"
2,DEN,PIT,6.0,13.0,7.0,0.3815122217708388,True,3.0,-101.65258861373104,-0.1944866773060312,-6.618166208267212,7,7,2.0,0.0,"MEDIUM_SPREAD,EARLY_SEASON"
2,KC,CIN,26.0,25.0,1.0,0.648812603286016,True,-6.5,64.37884353058348,45.958509966882275,-6.928083539009094,10,7,3.0,1.0,"MEDIUM_SPREAD,EARLY_SEASON,MAJOR_REST_ADVANTAGE"
2,HOU,CHI,19.0,13.0,6.0,0.9553079882615244,True,-6.0,77.04966087582375,29.822981398626098,10.172950625419617,7,7,1.0,2.0,"MEDIUM_SPREAD,EARLY_SEASON"
2,PHI,ATL,21.0,22.0,1.0,0.785150030709245,False,-5.5,133.54442199774985,49.87632349674868,-2.5335011184215546,10,8,1.0,0.0,"MEDIUM_SPREAD,EARLY_SEASON,MINOR_REST_ADVANTAGE"
3,NYJ,NE,24.0,3.0,21.0,0.9830606921032855,True,-6.5,91.35588235078126,11.246689815891841,37.135854721069336,4,4,0.0,1.0,"MEDIUM_SPREAD,DIVISION_GAME,EARLY_SEASON"
3,CLE,NYG,15.0,21.0,6.0,0.4945883185064002,True,-6.5,188.44552770828022,92.35841451485726,-21.817788124084473,7,7,2.0,1.0,"MEDIUM_SPREAD,EARLY_SEASON"
3,IND,CHI,21.0,16.0,5.0,0.6775037483369398,True,-1.5,-15.366187603155595,-20.54873398837617,5.39208060503006,7,7,2.0,3.0,"CLOSE_GAME,EARLY_SEASON"
3,MIN,HOU,34.0,7.0,27.0,0.8469427382601274,True,2.0,-80.96130580649833,-35.866677210157604,20.00007736682892,7,7,0.0,2.0,"CLOSE_GAME,EARLY_SEASON"
