Week,Home,Away,HomeScore,AwayScore,Margin,Predicted_Prob,Correct,Vegas,Elo_Diff,QB_Diff,EPA_Diff,HomeRest,AwayRest,HomeTurnovers,AwayTurnovers,Regimes,TO_Winner,Actual_Winner
1,KC,BAL,27.0,20.0,7.0,0.3315937181640837,False,-3.0,-105.88417811068598,-63.08105176972185,4.243856906890869,7,7,1.0,1.0,"MEDIUM_SPREAD,EARLY_SEASON",EVEN,HOME
1,ATL,PIT,10.0,18.0,8.0,0.7179132892810863,False,-4.0,-147.83767065350912,23.53322382330566,-10.72318708896637,7,7,2.0,0.0,"MEDIUM_SPREAD,EARLY_SEASON",AWAY,AWAY
1,CIN,NE,10.0,16.0,6.0,0.7121818147192398,False,-8.0,176.8100122509759,2.7480110195099314,-0.3902766704559326,7,7,1.0,0.0,"BLOWOUT_EXPECTED,EARLY_SEASON",AWAY,AWAY
1,LAC,LV,22.0,10.0,12.0,0.4057560242047866,False,-3.0,-124.70977688250946,-30.915264044779406,16.098047614097595,7,7,0.0,3.0,"MEDIUM_SPREAD,DIVISION_GAME,EARLY_SEASON",HOME,HOME
1,CLE,DAL,17.0,33.0,16.0,0.5103073405216244,False,-2.5,-24.76000479917934,-19.922812567243454,-12.484751775860786,7,7,2.0,0.0,"CLOSE_GAME,EARLY_SEASON",AWAY,AWAY
2,BAL,LV,23.0,26.0,3.0,0.9883672601608233,False,-9.0,154.02790225310946,82.55742420282081,9.066689133644104,10,7,1.0,1.0,"BLOWOUT_EXPECTED,EARLY_SEASON,MAJOR_REST_ADVANTAGE",EVEN,AWAY
2,DET,TB,16.0,20.0,4.0,0.8246421903548853,False,-7.5,92.84740937629272,44.257775394079545,-1.1151949167251587,7,7,2.0,1.0,"BLOWOUT_EXPECTED,EARLY_SEASON",AWAY,AWAY
2,NE,SEA,20.0,23.0,3.0,0.6207248908897749,False,3.5,-140.8519601877474,-5.894715548023214,1.9844895154237747,7,7,0.0,0.0,"MEDIUM_SPREAD,EARLY_SEASON",EVEN,AWAY
2,PHI,ATL,21.0,22.0,1.0,0.785150030709245,False,-5.5,133.54442199774985,49.87632349674868,-2.5335011184215546,10,8,1.0,0.0,"MEDIUM_SPREAD,EARLY_SEASON,MINOR_REST_ADVANTAGE",AWAY,AWAY
3,LA,SF,27.0,24.0,3.0,0.21243407767126932,False,6.0,-44.745315393210376,-53.77909473597947,-6.443992853164673,7,7,0.0,1.0,"MEDIUM_SPREAD,DIVISION_GAME,EARLY_SEASON",HOME,HOME
4,ATL,NO,26.0,24.0,2.0,0.36892509725051015,False,-2.5,-118.90693332070828,-22.685886575309496,-3.205867700278759,7,7,1.0,1.0,"CLOSE_GAME,DIVISION_GAME,EARLY_SEASON",EVEN,HOME
4,CHI,LA,24.0,18.0,6.0,0.3431852107351445,False,-3.0,-85.00101440198773,-31.840762861499798,-2.101870894432068,7,7,0.0,2.0,"MEDIUM_SPREAD,EARLY_SEASON",HOME,HOME
4,NYJ,DEN,9.0,10.0,1.0,0.6159226484074829,False,-7.5,-6.718106328036129,27.806986731979805,-4.530645728111267,10,7,1.0,1.0,"BLOWOUT_EXPECTED,EARLY_SEASON,MAJOR_REST_ADVANTAGE",EVEN,AWAY
4,LV,CLE,20.0,16.0,4.0,0.3436253438310765,False,2.5,-80.93690706429152,-27.07293392856218,-1.7225384712219238,7,7,1.0,1.0,"CLOSE_GAME,EARLY_SEASON",EVEN,HOME
5,CIN,BAL,38.0,41.0,3.0,0.5854150756167558,False,2.5,-24.43320261881763,-19.349034199344032,-5.555994033813477,7,7,1.0,1.0,"CLOSE_GAME,DIVISION_GAME,MID_SEASON",EVEN,AWAY
5,JAX,IND,37.0,34.0,3.0,0.21824226391466092,False,-3.5,-73.54511941369287,-36.10316361408195,1.692525863647461,7,7,2.0,1.0,"MEDIUM_SPREAD,DIVISION_GAME,MID_SEASON",AWAY,HOME
5,NE,MIA,10.0,15.0,5.0,0.791756510908851,False,2.0,4.73266182092425,-6.578669456867146,0.24406790733337402,7,6,0.0,1.0,"CLOSE_GAME,DIVISION_GAME,MID_SEASON,MINOR_REST_ADVANTAGE",HOME,AWAY
5,SF,ARI,23.0,24.0,1.0,0.6924377565470895,False,-7.0,44.460442432047785,20.702081635133254,-7.4111329317092896,7,7,3.0,1.0,"BLOWOUT_EXPECTED,DIVISION_GAME,MID_SEASON",AWAY,AWAY
5,SEA,NYG,20.0,29.0,9.0,0.9751851930342981,False,-7.0,77.05221174945336,38.389905718100636,-0.1440296173095703,6,10,1.0,1.0,"BLOWOUT_EXPECTED,MID_SEASON,MAJOR_REST_ADVANTAGE",EVEN,AWAY
5,PIT,DAL,17.0,20.0,3.0,0.9384107847313217,False,-2.5,31.7780486422414,20.477093182480303,-5.961136817932129,7,10,1.0,3.0,"CLOSE_GAME,MID_SEASON,MAJOR_REST_ADVANTAGE",HOME,AWAY
6,BAL,WAS,30.0,23.0,7.0,0.48883767986530796,False,-6.5,-25.83646446689022,-16.572053491104953,2.784757375717163,7,7,1.0,0.0,"MEDIUM_SPREAD,MID_SEASON",AWAY,HOME
6,TEN,IND,17.0,20.0,3.0,0.7235174977569486,False,-2.5,-9.657884977437789,-8.147134943294077,4.837882399559021,13,7,1.0,1.0,"CLOSE_GAME,DIVISION_GAME,MID_SEASON,MAJOR_REST_ADVANTAGE",EVEN,AWAY
6,DEN,LAC,16.0,23.0,7.0,0.690100837915179,False,3.0,29.803788689680232,12.91839244750713,-7.067907810211182,7,14,2.0,0.0,"MEDIUM_SPREAD,DIVISION_GAME,MID_SEASON,MAJOR_REST_ADVANTAGE",AWAY,AWAY
7,CLE,CIN,14.0,21.0,7.0,0.5292189346712315,False,5.5,-43.90715767565848,-20.179788371598534,-1.5274755954742432,7,7,2.0,0.0,"MEDIUM_SPREAD,DIVISION_GAME,MID_SEASON",AWAY,AWAY
7,GB,HOU,24.0,22.0,2.0,0.1936246017089822,False,-3.0,-27.779801594356968,-36.941764948756145,4.860368132591248,7,7,2.0,0.0,"MEDIUM_SPREAD,MID_SEASON",AWAY,HOME
7,MIN,DET,29.0,31.0,2.0,0.8937981699606578,False,-1.0,27.712869816082275,17.363832398730892,-1.812085583806038,14,7,1.0,1.0,"CLOSE_GAME,DIVISION_GAME,MID_SEASON,MAJOR_REST_ADVANTAGE",EVEN,AWAY
7,LA,LV,20.0,15.0,5.0,0.09226369551701952,False,-7.0,-37.56196220614788,-18.05704039507782,8.897451639175415,14,7,1.0,4.0,"BLOWOUT_EXPECTED,MID_SEASON,MAJOR_REST_ADVANTAGE",HOME,HOME
7,ARI,LAC,17.0,15.0,2.0,0.07076374103746572,False,1.0,-69.51036395419987,-30.065640342206507,-9.894328564405441,8,8,1.0,1.0,"CLOSE_GAME,MID_SEASON",EVEN,HOME
8,LA,MIN,30.0,20.0,10.0,0.3350077170485998,False,3.0,-104.2927751099985,-54.544474471071,4.379488468170166,4,4,1.0,0.0,"MEDIUM_SPREAD,MID_SEASON",AWAY,HOME
8,CLE,BAL,29.0,24.0,5.0,0.03377553895395449,False,7.5,-138.3427651520267,-32.30366410438296,4.143603324890137,7,6,1.0,0.0,"BLOWOUT_EXPECTED,DIVISION_GAME,MID_SEASON,MINOR_REST_ADVANTAGE",AWAY,HOME
8,NE,NYJ,25.0,22.0,3.0,0.05119755484247321,False,7.0,-38.04823810044536,7.675885677419501,-5.4505733251571655,7,7,0.0,0.0,"BLOWOUT_EXPECTED,DIVISION_GAME,MID_SEASON",EVEN,HOME
9,BUF,MIA,30.0,27.0,3.0,0.46271788978523726,False,-6.5,137.54517657543533,39.66871538406667,-9.42266470193863,7,7,1.0,1.0,"MEDIUM_SPREAD,DIVISION_GAME,MID_SEASON",EVEN,HOME
9,CAR,NO,23.0,22.0,1.0,0.06721127157925913,False,7.0,-10.528558002459476,-18.582795884124835,-11.415417313575745,7,7,1.0,0.0,"BLOWOUT_EXPECTED,DIVISION_GAME,MID_SEASON",AWAY,HOME
10,NO,ATL,20.0,17.0,3.0,0.20031808303717985,False,3.5,-140.9081240382925,-46.231495131481324,-5.186432123184204,7,7,0.0,1.0,"MEDIUM_SPREAD,DIVISION_GAME,MID_SEASON",HOME,HOME
11,CHI,GB,19.0,20.0,1.0,0.7910156064455459,False,6.0,-61.82246689015028,-23.80879636947361,2.369386911392212,7,14,0.0,1.0,"MEDIUM_SPREAD,DIVISION_GAME,MID_SEASON,MAJOR_REST_ADVANTAGE",HOME,AWAY
11,PIT,BAL,18.0,16.0,2.0,0.13795774458844978,False,3.0,0.20673253402810587,-12.039117910329423,-17.286165595054626,7,10,1.0,3.0,"MEDIUM_SPREAD,DIVISION_GAME,MID_SEASON,MAJOR_REST_ADVANTAGE",HOME,HOME
11,SF,SEA,17.0,20.0,3.0,0.9098851736893442,False,-6.0,61.24505925107974,24.133343531810397,5.664547026157379,7,14,1.0,1.0,"MEDIUM_SPREAD,DIVISION_GAME,MID_SEASON,MAJOR_REST_ADVANTAGE",EVEN,AWAY
11,BUF,KC,30.0,21.0,9.0,0.3911445484742941,False,-2.5,-44.803915726012974,-24.30337074817271,1.0985609292984009,7,7,1.0,2.0,"CLOSE_GAME,MID_SEASON",HOME,HOME
12,HOU,TEN,27.0,32.0,5.0,0.5829643520981206,False,-8.0,140.8334980754562,49.815358592742086,-3.557023286819458,6,7,2.0,2.0,"BLOWOUT_EXPECTED,DIVISION_GAME,MID_SEASON,MINOR_REST_ADVANTAGE",EVEN,AWAY
