Week,Home,Away,Predicted,Actual,PredProb,VegasLine,Margin,HomeScore,AwayScore,HomeRest,AwayRest,Roof,Surface,Temp,Wind,HomeTurnovers,AwayTurnovers,HomeRushEPA,AwayRushEPA,HomePassEPA,AwayPassEPA
1,ATL,PIT,ATL,PIT,0.6318,-4.0,8.0,10.0,18.0,7,7,unknown,unknown,N/A,N/A,2.0,0.0,0,0,0,0
1,CIN,NE,CIN,NE,0.7382,-8.0,6.0,10.0,16.0,7,7,unknown,unknown,N/A,N/A,1.0,0.0,0,0,0,0
1,CLE,DAL,CLE,DAL,0.5832,-2.5,16.0,17.0,33.0,7,7,unknown,unknown,N/A,N/A,2.0,0.0,0,0,0,0
2,MIA,BUF,MIA,BUF,0.5738,-2.5,21.0,10.0,31.0,4,4,unknown,unknown,N/A,N/A,3.0,0.0,0,0,0,0
2,BAL,LV,BAL,LV,0.7694,-9.0,3.0,23.0,26.0,10,7,unknown,unknown,N/A,N/A,1.0,1.0,0,0,0,0
2,DAL,NO,DAL,NO,0.6723,-6.5,25.0,19.0,44.0,7,7,unknown,unknown,N/A,N/A,2.0,1.0,0,0,0,0
2,DET,TB,DET,TB,0.7062,-7.5,4.0,16.0,20.0,7,7,unknown,unknown,N/A,N/A,2.0,1.0,0,0,0,0
2,GB,IND,IND,GB,0.4691,3.0,6.0,16.0,10.0,9,7,unknown,unknown,N/A,N/A,1.0,3.0,0,0,0,0
2,JAX,CLE,JAX,CLE,0.6165,-3.0,5.0,13.0,18.0,7,7,unknown,unknown,N/A,N/A,0.0,0.0,0,0,0,0
2,TEN,NYJ,TEN,NYJ,0.5144,3.5,7.0,17.0,24.0,7,6,unknown,unknown,N/A,N/A,2.0,0.0,0,0,0,0
2,ARI,LA,LA,ARI,0.4907,1.0,31.0,41.0,10.0,7,7,unknown,unknown,N/A,N/A,1.0,1.0,0,0,0,0
2,PHI,ATL,PHI,ATL,0.6936,-5.5,1.0,21.0,22.0,10,8,unknown,unknown,N/A,N/A,1.0,0.0,0,0,0,0
3,CLE,NYG,CLE,NYG,0.7148,-6.5,6.0,15.0,21.0,7,7,unknown,unknown,N/A,N/A,2.0,1.0,0,0,0,0
3,MIN,HOU,HOU,MIN,0.4739,2.0,27.0,34.0,7.0,7,7,unknown,unknown,N/A,N/A,0.0,2.0,0,0,0,0
3,NO,PHI,NO,PHI,0.6215,-2.5,3.0,12.0,15.0,7,6,unknown,unknown,N/A,N/A,1.0,2.0,0,0,0,0
3,TB,DEN,TB,DEN,0.7099,-6.0,19.0,7.0,26.0,7,7,unknown,unknown,N/A,N/A,2.0,1.0,0,0,0,0
3,TEN,GB,TEN,GB,0.5639,-3.0,16.0,14.0,30.0,7,7,unknown,unknown,N/A,N/A,3.0,0.0,0,0,0,0
3,LV,CAR,LV,CAR,0.6966,-5.5,14.0,22.0,36.0,7,7,unknown,unknown,N/A,N/A,1.0,0.0,0,0,0,0
3,LA,SF,SF,LA,0.2951,6.0,3.0,27.0,24.0,7,7,unknown,unknown,N/A,N/A,0.0,1.0,0,0,0,0
